Date,State,Infected,Deaths,Recovered,Temperature,Humidity,Rainfall
2023-12-01,Maharashtra,3000,10,2900,30,60,0.5
2023-12-02,Maharashtra,3010,11,2910,31,61,0.0
2023-12-03,Maharashtra,3020,12,2920,32,62,0.0
2023-12-04,Maharashtra,3030,13,2930,33,63,0.5
2023-12-05,Maharashtra,3040,14,2940,34,64,0.0
2023-12-06,Maharashtra,3050,15,2950,30,65,0.0
2023-12-07,Maharashtra,3060,16,2960,31,66,0.5
2023-12-08,Maharashtra,3070,17,2970,32,67,0.0
2023-12-09,Maharashtra,3080,18,2980,33,68,0.0
2023-12-10,Maharashtra,3090,19,2990,34,69,0.5
2023-12-01,Tamil Nadu,3000,10,2900,30,60,0.5
2023-12-02,Tamil Nadu,3010,11,2910,31,61,0.0
2023-12-03,Tamil Nadu,3020,12,2920,32,62,0.0
2023-12-04,Tamil Nadu,3030,13,2930,33,63,0.5
2023-12-05,Tamil Nadu,3040,14,2940,34,64,0.0
2023-12-06,Tamil Nadu,3050,15,2950,30,65,0.0
2023-12-07,Tamil Nadu,3060,16,2960,31,66,0.5
2023-12-08,Tamil Nadu,3070,17,2970,32,67,0.0
2023-12-09,Tamil Nadu,3080,18,2980,33,68,0.0
2023-12-10,Tamil Nadu,3090,19,2990,34,69,0.5
2023-12-01,Delhi,3000,10,2900,30,60,0.5
2023-12-02,Delhi,3010,11,2910,31,61,0.0
2023-12-03,Delhi,3020,12,2920,32,62,0.0
2023-12-04,Delhi,3030,13,2930,33,63,0.5
2023-12-05,Delhi,3040,14,2940,34,64,0.0
2023-12-06,Delhi,3050,15,2950,30,65,0.0
2023-12-07,Delhi,3060,16,2960,31,66,0.5
2023-12-08,Delhi,3070,17,2970,32,67,0.0
2023-12-09,Delhi,3080,18,2980,33,68,0.0
2023-12-10,Delhi,3090,19,2990,34,69,0.5
