State,Capital_City,Temperature,Humidity,Rainfall
Andhra Pradesh,Amaravati,33.04,53,0.0
Arunachal Pradesh,Itanagar,26.54,91,0.0
Assam,Dispur,34.6,66,0.0
Bihar,Patna,39.54,33,0.0
Chhattisgarh,Raipur,27.45,58,0.0
Goa,Panaji,27.15,90,0.0
Gujarat,Gandhinagar,36.75,40,0.0
Haryana,Chandigarh,37.33,32,0.0
Himachal Pradesh,Shimla,25.99,39,0.0
Jharkhand,Ranchi,32.93,44,0.0
Karnataka,Bengaluru,25.04,76,0.0
Kerala,Thiruvananthapuram,25.45,85,0.0
Madhya Pradesh,Bhopal,33.29,56,0.0
Maharashtra,Mumbai,26.84,86,0.31
Manipur,Imphal,25.26,88,0.87
Meghalaya,Shillong,20.44,93,0.0
Mizoram,Aizawl,23.78,97,0.0
Nagaland,Kohima,21.77,98,0.24
Odisha,Bhubaneswar,28.81,77,0.0
Punjab,Chandigarh,37.33,32,0.0
Rajasthan,Jaipur,35.5,49,0.0
Sikkim,Gangtok,28.51,58,0.0
Tamil Nadu,Chennai,31.63,60,0.0
Telangana,Hyderabad,24.08,72,0.0
Tripura,Agartala,30.61,76,0.0
Uttar Pradesh,Lucknow,34.47,53,0.0
Uttarakhand,Dehradun,35.2,35,0.0
West Bengal,Kolkata,33.27,54,0.0
Delhi,Delhi,31.71,49,0.0
